order_id,order_datetime,customer_id,total_amount,num_items
919746,2024-02-10T02:49:57.507673,18,50.05,5
921496,2024-02-10T09:31:24.243995,23,60.92,5
936269,2024-02-09T09:15:43.032740,30,50.90,2
942063,2024-02-01T18:11:17.821373,17,30.01,2
945714,2024-02-01T06:16:20.056786,2,42.31,2
964079,2024-02-02T06:54:39.729966,12,50.21,2
964284,2024-02-04T02:32:15.651409,2,29.79,3
972899,2024-02-09T22:56:54.221093,15,29.85,1
981386,2024-02-06T09:14:56.577643,21,27.03,2
983242,2024-02-01T22:59:19.793327,22,89.67,4
996627,2024-02-09T22:45:01.694898,2,3.09,1
1002949,2024-02-10T16:04:43.116280,8,18.32,2
1003276,2024-02-01T10:06:37.153570,11,36.15,3
1003481,2024-02-08T10:48:29.033729,30,35.82,2
1013182,2024-02-06T12:05:14.754956,25,102.12,5
1016054,2024-02-02T06:14:01.261780,15,3.96,1
1018138,2024-02-08T16:28:05.302987,22,81.01,4
1029112,2024-02-05T09:11:04.515508,18,14.52,1
1035867,2024-02-01T03:26:46.199505,13,86.79,4
1042581,2024-02-10T01:59:26.533598,5,41.68,3
1043366,2024-02-10T14:21:01.362844,7,24.22,3
1043980,2024-02-06T08:39:43.426251,11,31.39,2
1052005,2024-02-09T00:15:37.486906,6,10.71,2
1080939,2024-02-06T20:31:24.838311,13,32.99,4
1085010,2024-02-05T11:31:42.778498,4,26.04,1
1085076,2024-02-02T01:20:22.494486,24,49.19,4
1087222,2024-02-04T09:21:37.889468,27,39.33,3
1087811,2024-02-01T19:18:42.410720,7,20.12,2
1090161,2024-02-02T04:50:53.165224,21,65.47,5
1097187,2024-02-04T16:47:57.517048,7,16.33,3
1106598,2024-02-06T17:57:19.245881,18,37.70,1
1148233,2024-02-08T10:11:30.743801,3,48.80,2
1150526,2024-02-09T17:37:14.520768,19,36.71,2
1165781,2024-02-06T08:10:56.225636,4,89.10,5
1180279,2024-02-02T12:19:48.675657,28,52.43,4
1186732,2024-02-10T10:58:37.376592,26,11.30,1
1200947,2024-02-07T20:49:25.533743,13,6.58,1
1213508,2024-02-01T22:27:39.241369,25,36.69,2
1213722,2024-02-05T04:34:49.053900,21,44.50,4
1222553,2024-02-06T06:49:32.068190,15,23.02,2
1229184,2024-02-08T15:24:14.233594,9,41.55,4
1229742,2024-02-01T05:38:03.858369,1,20.98,3
1234343,2024-02-01T14:01:22.762057,12,25.16,1
1245123,2024-02-05T17:43:46.049942,1,94.15,5
1250796,2024-02-05T06:43:11.198260,25,23.06,2
1257798,2024-02-06T17:36:05.886138,27,74.97,5
1261731,2024-02-08T02:15:00.344413,23,87.77,5
1269449,2024-02-01T05:02:41.203616,2,15.90,2
1284414,2024-02-04T14:42:46.337487,3,17.73,3
1294571,2024-02-01T09:11:46.683215,9,106.83,3
1306776,2024-02-01T20:46:58.506747,30,9.87,1
1309035,2024-02-10T06:47:23.007578,19,21.95,2
1326916,2024-02-02T06:51:49.113528,13,41.59,5
1330148,2024-02-09T17:53:04.747262,26,18.43,2
1336615,2024-02-09T03:09:48.304751,25,39.80,1
1341375,2024-02-04T12:28:20.513038,21,41.90,1
1385690,2024-02-01T00:42:14.106193,17,33.44,3
1417791,2024-02-09T22:41:34.137105,2,3.58,1
1420556,2024-02-10T04:25:51.735080,10,38.13,3
1428623,2024-02-05T10:30:32.967274,5,6.29,1
1447264,2024-02-08T04:02:14.304641,14,11.62,2
1451208,2024-02-01T21:58:34.720935,14,112.32,5
1457193,2024-02-01T08:18:57.321274,26,58.52,5
1469676,2024-02-01T18:06:02.568905,22,69.50,5
1470886,2024-02-01T05:30:00.776909,25,19.90,2
1480073,2024-02-02T17:21:00.712265,12,29.85,1
1499301,2024-02-10T14:39:38.981837,17,52.50,3
1504740,2024-02-04T04:03:36.775985,22,51.66,5
1524330,2024-02-01T12:44:51.944597,8,6.33,1
1531641,2024-02-09T08:24:06.404415,10,64.33,4
1531795,2024-02-01T17:41:23.556560,5,61.05,4
1534055,2024-02-08T14:15:22.930256,28,46.58,2
1539987,2024-02-04T08:27:01.903726,6,134.02,5
1542978,2024-02-01T23:57:09.083902,25,59.73,2
1544095,2024-02-08T04:43:39.007515,15,7.57,2
1548431,2024-02-08T08:32:42.752968,7,83.33,5
1560139,2024-02-01T09:20:14.099481,27,5.49,2
1570419,2024-02-10T01:51:32.425462,8,13.32,2
1573034,2024-02-02T09:31:38.590124,29,65.83,3
1600082,2024-02-08T14:47:13.865633,21,52.26,2
1607531,2024-02-03T05:56:01.752037,10,33.75,2
1641234,2024-02-04T04:04:05.970087,12,59.81,5
1644035,2024-02-01T07:25:50.102668,21,45.82,4
1644768,2024-02-01T15:51:07.609675,7,103.03,4
1647507,2024-02-08T00:07:57.528005,4,28.25,1
1654710,2024-02-06T23:54:07.694839,26,136.62,5
1658121,2024-02-07T19:41:53.931035,29,135.60,4
1668875,2024-02-09T10:25:39.127044,6,90.54,4
1691882,2024-02-02T11:54:45.825834,18,58.94,3
1692082,2024-02-08T16:24:00.762719,29,67.15,2
1696792,2024-02-06T07:43:21.669846,5,17.02,4
1709653,2024-02-06T21:29:43.680437,18,7.42,1
1722542,2024-02-06T18:57:36.789646,14,58.78,2
1730658,2024-02-08T00:15:10.723745,6,38.91,4
1730841,2024-02-04T18:42:05.999007,1,49.75,1
1733834,2024-02-05T19:24:43.865194,20,56.17,2
1739347,2024-02-01T17:51:33.222940,10,25.06,2
1748685,2024-02-03T05:27:43.382732,9,28.29,1
1748788,2024-02-06T09:11:01.266826,27,121.65,4
1775124,2024-02-05T23:42:40.980245,11,94.31,5
1776988,2024-02-02T11:17:10.513273,8,4.59,1
1786728,2024-02-02T06:54:28.726225,14,83.41,5
1795267,2024-02-10T13:13:36.322078,30,48.60,3
1799038,2024-02-06T09:16:05.331558,18,4.72,1
1799061,2024-02-02T08:15:53.852521,8,11.56,1
1864732,2024-02-09T13:11:12.521026,12,42.20,2
1871097,2024-02-09T15:31:46.590572,3,51.43,5
1874305,2024-02-02T20:51:34.571297,21,54.97,4
1877537,2024-02-02T17:31:11.327681,26,106.81,5
1881102,2024-02-02T17:30:00.846380,19,31.21,2
1881813,2024-02-09T17:46:37.186448,8,34.34,4
1882050,2024-02-01T07:12:08.798860,25,35.89,2
1894368,2024-02-04T20:19:00.643263,25,56.18,4
1894981,2024-02-02T04:08:14.056511,6,28.03,2
1909557,2024-02-02T17:43:37.238850,13,40.92,2
1918579,2024-02-04T11:17:25.117607,19,7.41,1
1922905,2024-02-08T09:32:39.207782,27,29.85,1
1951081,2024-02-01T18:28:49.786170,21,5.37,1
1952863,2024-02-09T09:49:00.394597,14,34.96,1
1969934,2024-02-01T11:16:58.794100,10,72.65,2
1976823,2024-02-01T03:36:00.835046,20,35.38,4
1977521,2024-02-01T14:32:32.189183,5,67.97,4
1991461,2024-02-06T16:25:43.488549,16,42.92,2
2012663,2024-02-02T17:35:18.890549,6,13.93,3
2020150,2024-02-03T10:05:31.831716,5,21.39,2
2022013,2024-02-06T05:56:17.227986,5,71.93,5
2024745,2024-02-02T19:27:45.300771,12,28.79,3
2040669,2024-02-08T10:29:08.444996,14,68.39,4
2048445,2024-02-03T10:24:21.115408,19,57.18,4
2051912,2024-02-10T11:03:17.026047,29,21.00,2
2057913,2024-02-01T06:34:03.282933,9,22.26,1
2080681,2024-02-08T23:00:18.063960,12,34.96,1
2117254,2024-02-06T16:09:34.096899,21,65.84,2
2162609,2024-02-09T04:00:58.240336,8,81.43,4
2163191,2024-02-01T08:57:34.834758,14,42.80,1
2166751,2024-02-01T03:55:17.882145,18,51.06,2
2167434,2024-02-01T13:51:08.263178,25,31.92,2
2172565,2024-02-01T16:20:35.102845,1,74.85,5
2172683,2024-02-09T12:00:59.773099,23,40.64,3
2179403,2024-02-02T23:55:07.132890,7,42.27,3
2180204,2024-02-08T02:46:01.334340,11,18.79,2
2185005,2024-02-06T19:14:12.157944,17,88.10,5
2187814,2024-02-08T20:44:46.444462,26,85.33,4
2201523,2024-02-01T19:44:37.502044,7,53.85,2
2206758,2024-02-10T02:19:38.429383,25,34.33,3
2206994,2024-02-04T23:16:00.838507,18,54.99,2
2215230,2024-02-04T00:09:35.191047,5,17.82,3
2225823,2024-02-04T14:30:05.244896,14,18.86,1
2226582,2024-02-01T02:22:04.870980,2,2.04,1
2228014,2024-02-10T14:34:22.591510,7,5.76,3
2235366,2024-02-09T14:51:55.824268,1,109.78,4
2249003,2024-02-08T01:10:31.553497,21,51.85,3
2279050,2024-02-08T22:01:56.733200,15,12.63,1
2282382,2024-02-02T01:43:23.745222,3,22.26,1
2282965,2024-02-10T01:27:37.021965,5,24.64,2
2298068,2024-02-01T09:06:03.264491,12,54.93,3
2338033,2024-02-02T08:41:22.768701,24,36.97,3
2338754,2024-02-06T04:33:02.932884,20,51.33,2
2340451,2024-02-01T23:01:17.979726,27,83.60,5
2358234,2024-02-02T10:08:09.816344,22,52.21,3
2359849,2024-02-09T15:38:13.556326,14,23.60,1
2375054,2024-02-07T02:41:20.643955,3,18.46,2
2401751,2024-02-06T07:27:25.032987,11,47.17,4
2416729,2024-02-06T15:49:54.510662,2,86.85,3
2431776,2024-02-01T17:46:08.830005,8,19.90,1
2438176,2024-02-09T01:08:13.493235,10,17.12,1
2442300,2024-02-04T01:19:51.195016,19,79.23,4
2450391,2024-02-06T15:29:10.870857,7,16.95,1
2451547,2024-02-06T13:11:07.087122,25,12.58,1
2460741,2024-02-06T17:43:28.122370,29,21.81,2
2464989,2024-02-02T05:19:43.609614,12,51.18,3
2465474,2024-02-01T20:28:00.977238,2,1.79,1
2468303,2024-02-01T07:56:10.971509,3,1.02,1
2474139,2024-02-08T23:27:19.240213,13,20.39,3
2478063,2024-02-02T20:11:15.997318,15,3.08,1
2489219,2024-02-08T20:16:14.786904,1,67.50,4
2494887,2024-02-02T05:51:05.142370,1,52.74,4
2512395,2024-02-09T08:59:38.183210,6,45.19,4
2516120,2024-02-05T09:33:19.070301,13,19.90,1
2523119,2024-02-04T18:20:05.295132,29,64.83,4
2523471,2024-02-10T07:57:43.475971,19,34.46,3
2523569,2024-02-04T01:55:19.418697,30,22.49,2
2560276,2024-02-08T15:52:11.548674,7,39.62,2
2571999,2024-02-01T10:00:11.926392,23,11.94,1
2616953,2024-02-04T13:01:44.472465,12,20.01,2
2621431,2024-02-08T16:40:55.208756,10,56.32,4
2621640,2024-02-09T22:41:40.574508,17,105.76,4
2622309,2024-02-08T01:21:47.025700,25,50.80,3
2628886,2024-02-09T23:45:05.130002,14,39.78,4
2668382,2024-02-01T03:07:35.649400,1,77.57,5
2680615,2024-02-02T05:38:52.816195,18,49.53,3
2695543,2024-02-03T01:39:13.298786,15,30.78,2
2697425,2024-02-01T23:46:21.674135,10,9.90,1
2703606,2024-02-06T18:06:01.946141,17,18.47,2
2705750,2024-02-05T22:01:22.202954,10,82.29,4
2706986,2024-02-09T01:26:01.745793,11,44.92,2
2725858,2024-02-01T10:50:08.325300,14,43.60,3
2730377,2024-02-09T10:04:10.580925,7,59.46,3
2737263,2024-02-01T23:48:02.404660,23,28.25,1
2749254,2024-02-06T01:40:36.805399,21,17.82,2
2761920,2024-02-09T08:15:31.537534,30,45.61,2
2788125,2024-02-08T15:08:23.698721,7,46.34,2
2793375,2024-02-03T07:13:17.619790,22,14.02,2
2802739,2024-02-01T16:18:08.461627,29,26.14,3
2803196,2024-02-02T07:14:55.792941,25,6.18,1
2804811,2024-02-01T14:38:08.231702,4,42.08,2
2812576,2024-02-01T09:45:55.435906,14,5.14,2
2815032,2024-02-02T08:41:51.854885,22,51.79,3
2816323,2024-02-08T00:22:05.798675,16,6.58,1
2827862,2024-02-02T13:55:47.929820,4,36.64,1
2828494,2024-02-01T00:54:06.760875,23,26.72,3
2831577,2024-02-06T11:06:21.391117,24,29.53,3
2834169,2024-02-03T15:02:09.835041,17,30.22,2
2837035,2024-02-09T05:32:15.404277,27,12.07,2
2841145,2024-02-02T17:51:40.959012,14,42.21,4
2841890,2024-02-05T20:23:57.989302,12,6.75,1
2855802,2024-02-02T01:20:54.866161,13,30.27,3
2874999,2024-02-02T23:35:56.898720,8,28.77,2
2886319,2024-02-08T21:55:22.193345,21,10.88,2
2909092,2024-02-03T14:51:47.763589,16,4.21,1
2914907,2024-02-10T08:58:30.393128,14,26.53,3
2926815,2024-02-10T02:32:25.401753,6,21.03,4
2927582,2024-02-05T17:44:21.126442,8,19.75,3
2928311,2024-02-02T05:06:22.562253,10,39.34,3
2928959,2024-02-08T13:45:32.372919,16,46.36,2
2929510,2024-02-02T03:57:32.989889,19,45.93,5
2937790,2024-02-06T12:49:41.863180,3,3.06,1
2952375,2024-02-06T05:03:30.310092,7,78.13,5
2954558,2024-02-08T06:41:09.096347,10,14.52,1
2960874,2024-02-01T13:13:33.275428,30,33.08,3
2981087,2024-02-02T08:30:45.273012,2,34.10,3
2991710,2024-02-10T14:45:53.338439,4,42.43,3
2994929,2024-02-10T08:09:11.240348,24,68.73,5
3012233,2024-02-03T15:50:14.622991,13,28.59,3
3012848,2024-02-09T16:32:55.654223,24,52.36,2
3016724,2024-02-08T02:51:56.568517,24,59.95,4
3037263,2024-02-02T00:04:19.393235,11,70.17,4
3071346,2024-02-10T12:48:15.885638,7,41.65,4
3087415,2024-02-08T08:16:57.815861,9,47.15,3
3103317,2024-02-03T11:34:37.808245,30,21.32,2
3107621,2024-02-03T23:24:54.186222,8,8.18,1
3115046,2024-02-08T00:42:34.317753,15,51.41,4
3122756,2024-02-01T12:18:57.865564,26,22.62,1
3136281,2024-02-01T02:35:18.010326,14,70.27,5
3139230,2024-02-08T12:27:52.842004,20,43.70,1
3139467,2024-02-01T03:31:19.969995,14,45.32,5
3145242,2024-02-06T08:18:17.148220,11,49.67,2
3147670,2024-02-04T10:42:56.856708,23,41.04,5
3152580,2024-02-10T23:49:39.673883,10,84.29,5
3211702,2024-02-06T13:30:58.454312,11,71.63,5
3225227,2024-02-08T10:16:20.989509,25,85.15,4
3256313,2024-02-01T03:01:57.329548,11,34.44,3
3263259,2024-02-06T15:52:56.461075,22,48.67,3
3282152,2024-02-06T04:24:05.408642,20,29.67,3
3287271,2024-02-08T18:04:46.462685,19,95.51,4
3316347,2024-02-01T12:09:35.784542,24,34.53,2
3317049,2024-02-01T06:28:41.385973,14,73.78,4
3318862,2024-02-04T02:05:05.823927,8,41.20,3
3334848,2024-02-08T12:08:54.519586,22,40.08,3
3335096,2024-02-05T16:40:09.288215,10,11.79,2
3364991,2024-02-01T10:31:29.461668,27,25.16,1
3400270,2024-02-09T04:29:22.774995,6,11.94,1
3400876,2024-02-01T08:45:20.617916,23,32.99,3
3408096,2024-02-05T15:39:21.386522,12,7.55,1
3412465,2024-02-06T12:57:08.418612,14,3.08,1
3414896,2024-02-04T09:51:43.128802,15,41.75,4
3423463,2024-02-01T19:18:19.240423,18,17.58,2
3426435,2024-02-09T08:50:24.690708,14,125.61,5
3427908,2024-02-10T07:19:31.748152,8,26.24,1
3445335,2024-02-09T00:42:59.507892,1,55.59,2
3455167,2024-02-06T22:05:06.155534,8,14.37,2
3473014,2024-02-02T04:24:47.952537,30,63.35,4
3491860,2024-02-03T08:52:22.859088,27,93.54,5
3512791,2024-02-01T03:55:01.035441,22,23.24,4
3535365,2024-02-02T11:46:07.659178,10,5.78,1
3545217,2024-02-08T09:28:51.413887,25,21.05,1
3582597,2024-02-05T08:07:10.828426,1,25.10,2
3586693,2024-02-02T08:14:59.480358,29,35.94,3
3606328,2024-02-09T23:17:18.970795,1,15.56,2
3609451,2024-02-02T15:24:28.449715,25,76.27,4
3627041,2024-02-01T19:56:45.651763,6,79.03,3
3627766,2024-02-01T14:22:47.796699,27,18.89,3
3631182,2024-02-05T05:57:29.327779,5,51.55,4
3631674,2024-02-01T05:12:03.957314,16,81.29,4
3634375,2024-02-06T12:53:54.658157,16,63.48,4
3637499,2024-02-09T18:12:51.543702,23,25.16,1
3648876,2024-02-08T18:28:57.498883,15,8.56,1
3658587,2024-02-03T22:23:58.828049,3,22.55,2
3658767,2024-02-06T00:32:01.988025,15,22.50,2
3659755,2024-02-10T07:23:11.279479,27,55.78,3
3662002,2024-02-02T14:44:43.633008,22,81.22,4
3670306,2024-02-02T21:45:24.408195,7,50.65,3
3692281,2024-02-01T13:56:09.030862,7,33.52,1
3697614,2024-02-05T12:29:31.865935,10,78.24,4
3711071,2024-02-10T08:36:36.061394,10,31.77,3
3711280,2024-02-06T14:46:28.813233,30,55.46,4
3714620,2024-02-07T21:00:41.433264,8,40.01,4
3719927,2024-02-10T06:26:04.485280,2,30.23,3
3722112,2024-02-08T05:33:36.405051,26,80.45,4
3747391,2024-02-04T19:50:30.316236,9,60.10,3
3759773,2024-02-06T07:39:34.341920,10,78.86,5
3760255,2024-02-04T21:02:18.129290,30,52.10,4
3761422,2024-02-05T02:49:52.534700,9,61.65,3
3776497,2024-02-04T00:07:27.886177,30,33.91,4
3785097,2024-02-02T18:49:21.088034,16,12.66,1
3803301,2024-02-10T23:02:22.882176,27,70.05,3
3804435,2024-02-02T05:30:45.558263,10,74.59,4
3831392,2024-02-04T23:39:56.812913,11,101.47,5
3843662,2024-02-08T00:06:08.325195,6,44.30,5
3857474,2024-02-05T07:35:47.599708,3,36.49,2
3872859,2024-02-02T13:35:51.881444,8,22.60,1
3874270,2024-02-06T16:45:52.256283,12,7.92,1
3896167,2024-02-01T21:43:11.905632,30,81.02,5
3898227,2024-02-01T23:18:03.820805,6,40.73,2
3899195,2024-02-06T08:24:50.635926,25,0.51,1
3900455,2024-02-05T23:18:27.030388,17,97.76,4
3903782,2024-02-01T14:39:24.645781,17,25.32,1
3921246,2024-02-08T03:27:47.181789,9,17.31,2
3922500,2024-02-01T16:36:40.719500,16,84.41,5
3925650,2024-02-02T22:12:03.042260,5,67.94,5
3932234,2024-02-05T06:41:47.631959,16,7.86,2
3952291,2024-02-09T03:22:45.185509,8,28.11,1
3953283,2024-02-10T12:55:33.984174,1,9.27,1
3966854,2024-02-01T01:26:56.240937,5,104.14,4
3984500,2024-02-03T08:13:32.650288,4,94.18,5
4006253,2024-02-01T04:40:23.301985,19,14.61,1
4007018,2024-02-02T03:06:01.848026,22,20.88,3
4018899,2024-02-09T22:22:30.094372,26,44.54,3
4031417,2024-02-09T04:58:26.649381,7,62.63,4
4035971,2024-02-08T17:30:15.810258,10,16.95,1
4040014,2024-02-01T19:40:53.720783,22,46.61,2
4059923,2024-02-06T09:44:48.962197,12,107.87,3
4071782,2024-02-06T02:03:28.745089,24,18.71,3
4081862,2024-02-06T03:51:00.239311,10,4.50,1
4093271,2024-02-10T07:20:29.953504,21,46.04,3
4115574,2024-02-02T20:21:20.195804,16,18.76,1
4117780,2024-02-04T15:05:12.602614,7,6.31,2
4131166,2024-02-01T13:00:58.816564,29,9.95,1
4165186,2024-02-08T19:42:04.766432,26,14.48,1
4182261,2024-02-09T13:33:12.130385,13,13.55,2
4187804,2024-02-06T19:15:30.132338,17,37.59,2
4210596,2024-02-01T08:53:31.744657,23,45.80,3
4216363,2024-02-02T04:25:17.842299,5,94.01,5
4216437,2024-02-04T18:54:41.770399,6,19.90,1
4221922,2024-02-09T14:37:39.317630,8,55.47,4
4223784,2024-02-09T22:54:05.628008,5,34.66,5
4225121,2024-02-06T17:19:21.551595,23,61.15,4
4232947,2024-02-01T20:20:27.903992,22,28.25,1
4239077,2024-02-01T10:45:55.264947,1,14.48,1
4239082,2024-02-01T23:44:24.800651,12,28.61,2
4270882,2024-02-03T14:06:13.116464,9,6.75,1
4291589,2024-02-08T10:04:25.902504,22,21.49,3
4302591,2024-02-10T21:14:00.193481,5,29.35,3
4307412,2024-02-09T15:50:24.417075,12,75.48,4
4313924,2024-02-06T12:52:37.847654,22,62.41,3
4314270,2024-02-06T16:13:44.101079,6,65.32,3
4331282,2024-02-01T09:33:21.088556,1,60.22,2
4366060,2024-02-03T17:42:25.322537,26,34.47,2
4372131,2024-02-05T23:05:26.396987,26,51.52,3
4399504,2024-02-03T01:47:50.518928,21,113.24,5
4410639,2024-02-09T04:49:41.275519,5,97.05,4
4411467,2024-02-10T18:45:46.942718,15,72.76,4
4421466,2024-02-02T07:50:03.707533,10,24.91,3
4426677,2024-02-03T12:58:31.818307,16,30.58,4
4427853,2024-02-06T21:32:52.620537,5,101.48,5
4442445,2024-02-09T14:04:50.756845,3,7.94,1
4452614,2024-02-08T13:39:31.137440,5,44.17,5
4452634,2024-02-06T10:33:40.125912,12,68.48,4
4459037,2024-02-01T17:59:57.723362,4,104.21,4
4461036,2024-02-08T16:34:15.200784,3,18.76,1
4477447,2024-02-01T00:34:46.307018,3,14.16,1
4488784,2024-02-01T04:11:23.538711,18,31.87,3
4495249,2024-02-02T14:27:32.884065,14,42.86,3
4496708,2024-02-03T19:27:26.708905,28,127.09,5
4505828,2024-02-01T14:23:39.348895,17,45.20,2
4508545,2024-02-03T07:04:15.393123,25,16.95,1
4516259,2024-02-01T08:50:31.423928,20,71.96,3
4517901,2024-02-09T18:40:30.467382,7,42.13,4
4531915,2024-02-02T20:41:16.318820,15,50.90,3
4538797,2024-02-06T08:45:02.190985,13,31.65,1
4554002,2024-02-02T20:25:27.583125,25,17.12,1
4561531,2024-02-10T02:28:03.356555,3,20.07,4
4564125,2024-02-02T17:21:44.761375,27,56.10,3
4566944,2024-02-08T06:05:05.733697,4,109.10,5
4585613,2024-02-09T18:36:03.440119,20,22.43,2
4589145,2024-02-08T02:28:26.073417,2,30.21,3
4590222,2024-02-09T18:56:44.525669,11,18.32,1
4590286,2024-02-06T01:36:34.408602,15,15.56,2
4618366,2024-02-04T20:20:36.086232,20,63.13,4
4628337,2024-02-10T22:19:53.439075,11,58.28,3
4637323,2024-02-10T04:13:34.610172,20,14.84,1
4643956,2024-02-08T15:25:19.811367,1,34.06,2
4666084,2024-02-10T04:34:43.370130,22,28.11,1
4701325,2024-02-09T04:33:56.878005,2,60.93,3
4710449,2024-02-01T08:33:53.456835,25,37.90,3
4732216,2024-02-02T04:53:14.961918,20,22.62,1
4740147,2024-02-06T01:37:43.128121,30,35.89,3
4754675,2024-02-08T10:01:08.762404,21,76.92,5
4763238,2024-02-04T20:09:56.796808,12,86.24,5
4770458,2024-02-08T17:41:13.130652,8,7.58,2
4819208,2024-02-09T23:39:20.120692,18,8.42,1
4819743,2024-02-08T16:15:10.357830,5,30.16,1
4824454,2024-02-01T01:42:14.310363,25,66.86,5
4824866,2024-02-05T11:58:22.174862,8,70.32,5
4828822,2024-02-04T18:50:09.699528,28,28.25,1
4838677,2024-02-02T15:25:21.761486,29,78.06,5
4847423,2024-02-02T04:05:37.715850,30,48.42,4
4851919,2024-02-09T20:53:05.342339,24,90.43,5
4879626,2024-02-02T21:04:07.238962,12,79.19,4
4884286,2024-02-06T07:08:26.289611,22,41.09,2
4887908,2024-02-01T15:15:21.813441,1,24.35,1
4895668,2024-02-04T20:14:59.072935,14,9.95,1
4906948,2024-02-10T17:16:22.158692,6,7.32,2
4907756,2024-02-10T07:17:24.523833,2,91.08,4
4922944,2024-02-09T05:38:05.875695,16,44.75,3
4924858,2024-02-08T22:04:48.090811,22,37.22,2
4930309,2024-02-04T02:33:26.910030,8,13.50,3
4933137,2024-02-01T13:19:37.813619,10,33.90,2
4950890,2024-02-09T01:48:06.679650,21,42.80,2
4985436,2024-02-01T09:22:44.108911,10,54.01,4
4994021,2024-02-01T12:08:44.392707,11,71.42,3
5000387,2024-02-09T04:44:22.705508,7,19.33,3
5012635,2024-02-05T11:55:47.096477,3,77.44,3
5013477,2024-02-08T14:31:46.102843,14,47.15,1
5019832,2024-02-01T01:44:27.344823,1,114.21,5
5032903,2024-02-06T07:59:05.968199,30,28.90,1
5058032,2024-02-01T02:07:43.450626,3,22.48,2
